frame,widget_key,renderer,call_index,duration_ms,width,height,cache_hit_if_known
98,fit_distance_text,bar,0,0.8696,2324,199,0
98,iso_text,text,1,0.0212,140,51,1
98,exposure_text,text,2,0.0127,144,51,1
98,temp_text,text,3,0.0114,114,51,1
98,alt_text,bar,4,0.9248,337,213,0
99,fit_distance_text,bar,0,1.043,2324,199,0
99,iso_text,text,1,0.0525,140,51,1
99,exposure_text,text,2,0.0162,144,51,1
99,temp_text,text,3,0.0143,114,51,1
99,alt_text,bar,4,1.2183,337,213,0
100,fit_distance_text,bar,0,1.0177,2324,199,0
100,iso_text,text,1,0.0225,140,51,1
100,exposure_text,text,2,0.0137,144,51,1
100,temp_text,text,3,0.4898,114,51,0
100,alt_text,bar,4,0.7737,337,213,0
101,fit_distance_text,bar,0,0.944,2324,199,0
101,iso_text,text,1,0.0208,140,51,1
101,exposure_text,text,2,0.0125,144,51,1
101,temp_text,text,3,0.012,114,51,1
101,alt_text,bar,4,0.7783,337,213,0
102,fit_distance_text,bar,0,0.8142,2324,199,0
102,iso_text,text,1,0.021,140,51,1
102,exposure_text,text,2,0.0132,144,51,1
102,temp_text,text,3,0.0119,114,51,1
102,alt_text,bar,4,0.769,337,213,0
103,fit_distance_text,bar,0,0.9112,2324,199,0
103,iso_text,text,1,0.0275,140,51,1
103,exposure_text,text,2,0.0131,144,51,1
103,temp_text,text,3,0.012,114,51,1
103,alt_text,bar,4,0.8514,337,213,0
104,fit_distance_text,bar,0,0.8684,2324,199,0
104,iso_text,text,1,0.0282,140,51,1
104,exposure_text,text,2,0.0134,144,51,1
104,temp_text,text,3,0.0119,114,51,1
104,alt_text,bar,4,0.9855,337,213,0
105,fit_distance_text,bar,0,0.928,2324,199,0
105,iso_text,text,1,0.0216,140,51,1
105,exposure_text,text,2,0.0128,144,51,1
105,temp_text,text,3,0.0121,114,51,1
105,alt_text,bar,4,0.7874,337,213,0
106,fit_distance_text,bar,0,0.9401,2324,199,0
106,iso_text,text,1,0.023,140,51,1
106,exposure_text,text,2,0.013,144,51,1
106,temp_text,text,3,0.0123,114,51,1
106,alt_text,bar,4,0.8212,337,213,0
107,fit_distance_text,bar,0,0.9694,2324,199,0
107,iso_text,text,1,0.0254,140,51,1
107,exposure_text,text,2,0.0129,144,51,1
107,temp_text,text,3,0.0123,114,51,1
107,alt_text,bar,4,0.794,337,213,0
108,fit_distance_text,bar,0,0.9821,2324,199,0
108,iso_text,text,1,0.0219,140,51,1
108,exposure_text,text,2,0.0129,144,51,1
108,temp_text,text,3,0.0119,114,51,1
108,alt_text,bar,4,0.7887,337,213,0
109,fit_distance_text,bar,0,0.9759,2324,199,0
109,iso_text,text,1,0.0219,140,51,1
109,exposure_text,text,2,0.0126,144,51,1
109,temp_text,text,3,0.0121,114,51,1
109,alt_text,bar,4,0.819,337,213,0
110,fit_distance_text,bar,0,1.0093,2324,199,0
110,iso_text,text,1,0.0217,140,51,1
110,exposure_text,text,2,0.0129,144,51,1
110,temp_text,text,3,0.0124,114,51,1
110,alt_text,bar,4,0.7941,337,213,0
111,fit_distance_text,bar,0,1.0095,2324,199,0
111,iso_text,text,1,0.0215,140,51,1
111,exposure_text,text,2,0.013,144,51,1
111,temp_text,text,3,0.0122,114,51,1
111,alt_text,bar,4,0.7842,337,213,0
112,fit_distance_text,bar,0,1.0882,2324,199,0
112,iso_text,text,1,0.0254,140,51,1
112,exposure_text,text,2,0.0134,144,51,1
112,temp_text,text,3,0.0119,114,51,1
112,alt_text,bar,4,0.7978,337,213,0
113,fit_distance_text,bar,0,1.1289,2324,199,0
113,iso_text,text,1,0.066,140,51,1
113,exposure_text,text,2,0.014,144,51,1
113,temp_text,text,3,0.0133,114,51,1
113,alt_text,bar,4,1.201,337,213,0
114,fit_distance_text,bar,0,1.1604,2324,199,0
114,iso_text,text,1,0.0589,140,51,1
114,exposure_text,text,2,0.0175,144,51,1
114,temp_text,text,3,0.0153,114,51,1
114,alt_text,bar,4,1.4841,337,213,0
115,fit_distance_text,bar,0,0.9765,2324,199,0
115,iso_text,text,1,0.0228,140,51,1
