frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_set_stream,vp_blt,vp_submit_window,vp_range_pass,vp_chart_blend,vp_gauge_blend,vp_map_blend,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,amf_submitted,amf_received,submit_result,query_result,decoder_copy
77,0.038,15.2153,14.2881,0.0022,14.2858,0.2801,0.9156,0.0134,0.2018,0.1336,0.279,0.0056,0.0121,0.0202,0.2943,0.1264,0.1393,15.9163,1,78,73,0,0,0
78,0.0392,12.5959,11.8761,0.002,11.874,0.252,0.7116,0.0113,0.1637,0.1082,0.1728,0.0016,0.0089,0.0174,0.2737,0.1283,0.1567,13.2954,2,79,74,0,0,0
79,0.0369,11.7029,10.7484,0.0021,10.7462,0.3203,0.9445,0.012,0.1838,0.1672,0.2524,0.0056,0.0118,0.0194,0.2633,0.1099,0.1389,12.3515,3,80,75,0,0,0
80,0.0373,12.9358,12.3965,0.0024,12.394,0.2538,0.5301,0.0117,0.1257,0.0648,0.0708,0.0013,0.0102,0.0135,0.2549,0.1332,0.1608,13.6241,0,81,76,0,0,0
81,0.0383,13.3143,12.3347,0.0021,12.3325,0.3468,0.9688,0.0118,0.205,0.1344,0.2631,0.0056,0.0113,0.0194,0.2771,0.1235,0.1354,13.9906,1,82,77,0,0,0
82,0.0375,13.3264,12.5567,0.0022,12.5545,0.2528,0.7591,0.0116,0.1987,0.1025,0.1834,0.0081,0.0111,0.0162,0.2755,0.1463,0.1567,14.0474,2,83,78,0,0,0
83,0.0517,12.347,11.5685,0.0024,11.5659,0.3143,0.7712,0.012,0.1753,0.1143,0.1493,0.0034,0.0085,0.0149,0.2834,0.1349,0.2246,13.1441,3,84,79,0,0,0
84,0.0392,12.1151,11.6826,0.0021,11.6804,0.218,0.4237,0.0091,0.0935,0.0384,0.0614,0.0019,0.0093,0.0146,0.2775,0.1494,0.1531,12.8422,0,85,80,0,0,0
85,0.0417,13.3464,12.6966,0.003,12.6936,0.2334,0.6388,0.0102,0.1386,0.0767,0.1723,0.0055,0.0116,0.0188,0.3018,0.1839,0.1973,14.2002,1,86,81,0,0,0
86,0.0382,12.2751,11.768,0.0022,11.7658,0.1682,0.4945,0.0078,0.1039,0.0597,0.1501,0.0035,0.0117,0.0366,1.7144,0.7487,0.814,16.0696,2,87,82,0,0,0
87,0.0798,1.5523,0.9586,0.0035,0.955,0.2711,0.5846,0.0106,0.1133,0.1072,0.0774,0.003,0.0101,0.0127,0.2261,0.1208,0.1338,2.2059,3,88,83,0,0,0
88,0.0388,23.6537,22.8142,0.0025,22.8117,0.2629,0.8261,0.0124,0.206,0.1053,0.2317,0.006,0.0136,0.0182,0.4586,0.1871,0.2162,24.6856,0,89,84,0,0,0
89,0.1613,18.0345,17.3462,0.0168,17.3289,0.2518,0.6822,0.0254,0.1851,0.0869,0.1294,0.0018,0.0064,0.0156,0.2749,0.1388,0.1588,18.8773,1,90,85,0,0,0
90,0.428,8.469,6.5958,0.0183,6.577,0.6587,1.842,0.047,0.4624,0.297,0.3593,0.0135,0.0315,0.0402,0.7038,0.3124,0.3983,10.5305,2,91,86,0,0,0
91,0.1543,11.1751,10.0631,0.017,10.0456,0.3413,1.0988,0.0151,0.2986,0.152,0.2827,0.0064,0.0138,0.0224,0.4875,0.2269,0.2606,12.4711,3,92,87,0,0,0
92,0.0607,16.3805,14.9951,0.0023,14.9925,0.4727,1.3677,0.0162,0.3306,0.1994,0.333,0.0125,0.0188,0.0255,0.6262,0.2474,0.2472,17.7458,0,93,88,0,0,0
93,0.0576,9.1687,8.3009,0.0023,8.2984,0.2477,0.8573,0.0114,0.1879,0.1388,0.2636,0.0057,0.0112,0.0199,0.3574,0.2104,0.211,10.1515,1,94,89,0,0,0
94,0.0397,25.2093,24.4875,0.0022,24.4853,0.3146,0.7098,0.0136,0.1785,0.0662,0.1306,0.0039,0.0131,0.0177,0.3435,0.1682,0.2008,26.0921,2,95,90,0,0,0
95,0.0441,13.2504,12.5117,0.0026,12.509,0.2572,0.7309,0.0119,0.1419,0.1083,0.2064,0.003,0.0085,0.0139,0.2544,0.19,0.3023,14.2593,3,96,91,0,0,0
96,0.0372,22.6478,21.912,0.0023,21.9097,0.257,0.722,0.0111,0.1392,0.0692,0.2384,0.0048,0.0146,0.0191,0.3531,0.149,0.1573,23.4593,0,97,92,0,0,0
97,0.0377,24.0286,23.4344,0.0023,23.432,0.2677,0.5812,0.0132,0.1493,0.0723,0.0738,0.0028,0.0136,0.0201,0.3197,0.1295,0.1495,24.768,1,98,93,0,0,0
98,0.0383,21.3935,19.6086,0.002,19.6065,0.5384,1.7668,0.0195,0.4237,0.2786,0.4895,0.0131,0.0193,0.0266,0.7992,0.3129,0.5701,23.3333,2,99,94,0,0,0
99,0.0466,4.945,4.3127,0.0021,4.3105,0.2801,0.6202,0.0125,0.1359,0.0679,0.1193,0.0021,0.0129,0.0195,0.3212,0.2189,0.1728,5.8367,3,100,95,0,0,0
100,0.0478,3.6714,3.0786,0.0026,3.0759,0.2857,0.5839,0.0139,0.1359,0.0404,0.1031,0.0026,0.0102,0.0166,0.2617,0.1391,0.1755,4.4078,0,101,96,0,0,0
101,0.0418,19.8396,18.9129,0.0028,18.9101,0.4204,0.9126,0.0151,0.1748,0.0938,0.196,0.0098,0.0146,0.023,0.4126,0.2345,0.2652,20.9732,1,102,97,0,0,0
102,0.0742,10.2275,9.629,0.0084,9.6204,0.2454,0.5876,0.0122,0.1488,0.0582,0.1186,0.0026,0.0113,0.0154,0.2333,0.1348,0.1696,10.9489,2,103,98,0,0,0
103,0.0388,23.6381,22.7366,0.0024,22.734,0.3124,0.888,0.012,0.2178,0.1298,0.2105,0.0035,0.0141,0.0195,0.4131,0.1713,0.2744,24.6698,3,104,99,0,0,0
