frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_blt,vp_submit_window,vp_range_pass,vp_chart_blend,vp_gauge_blend,vp_map_blend,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,amf_submitted,amf_received,submit_result,query_result,decoder_copy
113,0.0538,28.0901,0.0017,0.0028,0.3053,0.7218,0.0119,0.2,0.079,0.1212,0.0036,0.0134,0.0186,0.2948,0.1615,0.2085,28.94,1,114,108,0,0,0
114,0.0399,38.2743,0.0014,0.0023,0.3586,0.9839,0.0143,0.2065,0.155,0.2452,0.0032,0.0164,0.0226,0.4914,0.2071,0.2273,39.3899,2,115,109,0,0,0
115,0.039,13.4825,0.0013,0.0023,0.3227,0.8598,0.0131,0.1842,0.1135,0.2224,0.003,0.0167,0.023,0.3968,0.1325,0.1508,14.3041,3,116,110,0,0,0
116,0.0388,28.0758,0.001,0.0021,0.2304,0.7069,0.0226,0.1375,0.095,0.2172,0.0034,0.0065,0.0155,0.298,0.1449,0.1922,28.8631,0,117,111,0,0,0
117,0.0483,12.948,0.0015,0.0028,0.3105,0.7508,0.0352,0.1965,0.0734,0.1291,0.005,0.0114,0.0228,0.4077,0.1462,0.1884,13.8561,1,118,112,0,0,0
118,0.0391,16.2003,0.0012,0.0023,0.303,0.9196,0.0132,0.1884,0.136,0.2721,0.0055,0.0116,0.02,0.3429,0.2007,0.2551,17.1931,2,119,113,0,0,0
119,0.0544,17.4706,0.0011,0.003,0.2569,0.5915,0.0101,0.1044,0.0713,0.1431,0.0052,0.0251,0.018,0.3066,0.1886,0.2265,18.3802,3,120,114,0,0,0
120,0.0887,15.1919,0.0018,0.0024,0.4135,1.3146,0.0165,0.2719,0.1959,0.4082,0.0074,0.0191,0.0242,0.5227,0.2248,0.2655,16.4646,0,121,115,0,0,0
121,0.1005,8.6429,0.0011,0.0036,0.3185,0.7122,0.0143,0.1684,0.0413,0.1663,0.0026,0.0091,0.017,0.2568,0.1271,0.1488,9.3755,1,122,116,0,0,0
122,0.0659,36.616,0.0012,0.003,0.2835,0.7072,0.0114,0.1408,0.0799,0.1875,0.0029,0.013,0.0183,0.3636,0.1986,0.3581,37.7654,2,123,117,0,0,0
123,0.051,18.0256,0.0009,0.0026,0.4842,0.8243,0.0128,0.1507,0.0735,0.0998,0.0027,0.01,0.0141,0.2556,0.1189,0.1457,18.6912,3,124,118,0,0,0
124,0.04,22.6783,0.0023,0.0024,0.329,0.9546,0.0134,0.1881,0.1268,0.2406,0.0553,0.0201,0.0297,0.6687,0.3428,0.2787,24.2123,0,125,119,0,0,0
125,0.1057,7.9416,0.001,0.0025,0.2384,0.7009,0.0304,0.2081,0.0826,0.1376,0.0031,0.0105,0.0237,0.3322,0.1414,0.1812,8.8255,1,126,120,0,0,0
126,0.1039,17.6098,0.0007,0.0025,0.2444,0.4615,0.0122,0.1003,0.0294,0.0718,0.003,0.0123,0.0237,0.2934,0.2422,0.3971,18.846,2,127,121,0,0,0
127,0.0404,54.2616,0.0011,0.0024,0.3099,0.8753,0.0287,0.1906,0.1372,0.2018,0.006,0.0143,0.0218,0.3747,0.1275,0.1373,55.0598,3,128,122,0,0,0
128,0.0421,54.1847,0.0009,0.0022,0.2842,0.9167,0.014,0.1932,0.1514,0.2674,0.0055,0.0132,0.0226,0.4858,0.1563,0.193,55.1679,0,129,123,0,0,0
129,0.0412,56.4965,0.0011,0.0026,0.3068,0.7803,0.013,0.1848,0.136,0.1352,0.0034,0.0132,0.0185,0.2847,0.1345,0.2719,57.3404,1,130,124,0,0,0
130,0.0405,57.2822,0.0011,0.0024,0.2599,0.6315,0.0125,0.1382,0.0691,0.1456,0.0052,0.0127,0.0203,0.358,0.2019,0.1558,58.1514,2,131,125,0,0,0
131,0.0422,52.407,0.0012,0.0021,0.3101,0.7986,0.0128,0.181,0.1593,0.1309,0.0036,0.0128,0.0206,0.2889,0.1367,0.1666,53.1538,3,132,126,0,0,0
132,0.0374,44.5877,0.0009,0.002,0.2616,0.6839,0.0284,0.1462,0.0666,0.1749,0.0051,0.0093,0.0194,0.298,0.1404,0.1309,45.2915,0,133,127,0,0,0
133,0.0397,43.4828,0.0018,0.0021,0.3012,0.698,0.029,0.1461,0.0697,0.1458,0.0053,0.0096,0.0178,0.2997,0.1295,0.1747,44.2359,1,134,128,0,0,0
